City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Uthal,PK,81.57,clear sky,25.8072,66.6219,Al-Mustafa Hotel
458,Shima,CN,75.99,few clouds,24.4478,117.8111,龙海钻石大酒店
459,Mahibadhoo,MV,80.37,overcast clouds,3.7833,72.9667,Omadhoo Inn
460,Aldama,MX,75.69,clear sky,22.9167,-98.0667,CASA CANYE
461,Labuhan,ID,80.08,broken clouds,-6.8844,112.2051,DoubleFAG
462,Puerto Madero,MX,86.2,few clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
465,Madimba,TZ,76.42,few clouds,-10.4,40.3333,
466,Ormara,PK,80.47,clear sky,25.2088,64.6357,Kenara Colony House for Rent
470,Ranong,TH,78.44,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
471,Salaga,GH,76.19,moderate rain,8.5508,-0.5188,Bore Nada Guest House
474,Odweyne,SO,81.5,broken clouds,9.4092,45.064,Eng Hiirey House
475,Vila Velha,BR,71.94,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
476,Umm Lajj,SA,88.11,clear sky,25.0213,37.2685,Moon light Furnished Units
477,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
478,Miami,US,79.02,clear sky,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
479,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
486,Sumbe,AO,76.98,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
488,Saint-Pierre,RE,71.28,few clouds,-21.3393,55.4781,Alize Plage
489,Bongandanga,CD,87.24,scattered clouds,1.5,21.05,
491,Omboue,GA,79.36,light rain,-1.5746,9.2618,Hotel Olako
494,Tecoanapa,MX,80.42,few clouds,16.5167,-98.75,Hotel Manglares
498,Mbamba,NG,82.26,light rain,9.9833,13.1,
501,Komsomolskiy,UZ,70.52,overcast clouds,40.4272,71.7189,Ikathouse
507,Tanete,ID,75.56,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
508,Torbat-E Jam,IR,75.4,clear sky,35.244,60.6225,White building
509,Cayenne,GF,89.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
513,Belmopan,BZ,78.26,overcast clouds,17.25,-88.7667,Villa San Juan
516,Tautira,PF,76.71,clear sky,-17.7333,-149.15,Pension Oaoa
518,Hobyo,SO,77.52,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
519,Laguna,US,73.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
520,Anito,PH,80.1,overcast clouds,12.4497,125.2886,El Felix Cottages
521,Praia Da Vitoria,PT,75.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
523,Portales,US,71.13,overcast clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
526,Kisangani,CD,80.55,overcast clouds,0.5167,25.2,Grand Ramela Hotel
531,Pithoro,PK,88.74,clear sky,25.5167,69.3833,Village Haji Muhammad Yousif Panhwar
532,Kalangala,UG,70.95,broken clouds,-0.3089,32.225,Ssese Habitat Resort
533,Methoni,GR,81.21,few clouds,36.8197,21.7049,Methoni Beach Hotel
537,Saquena,PE,88.18,scattered clouds,-4.6667,-73.5167,
538,Bayshore Gardens,US,77.05,few clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
541,Islamkot,PK,86.47,clear sky,24.6997,70.177,Pizza point islamkot
542,Ghatampur,IN,82.8,clear sky,26.1667,80.1667,OYO 46903 Hotel Sai Palace
546,Wanning,CN,78.91,overcast clouds,18.8003,110.3967,Paradise Hotel
548,Padang,ID,78.48,moderate rain,-0.9492,100.3543,Mercure Padang
552,Aksu,CN,72.34,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
554,Rosetta,EG,83.17,clear sky,31.4044,30.4164,Green Valley
556,Tual,ID,82.8,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
560,Saquarema,BR,71.64,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
561,Biak,ID,76.06,overcast clouds,-0.9131,122.8766,Penginapan Kim
563,Moindou,NC,72.18,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
564,Dariba,IN,75.31,overcast clouds,24.95,74.1333,JDO Hostel
566,Santa Fe,AR,74.01,scattered clouds,-31.6333,-60.7,Conquistador Hotel
567,Suba,PH,82.63,broken clouds,10.8438,121.0102,Jarnchi Pension House
568,Vaitape,PF,77.31,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
571,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
575,Ovalle,CL,73.42,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
577,Behshahr,IR,73.9,overcast clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
579,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
582,Sarangani,PH,83.75,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
585,Yotoco,CO,78.94,overcast clouds,3.8605,-76.3836,Alojamiento TURISTICO LA COMARCA
595,Ndele,CF,81.77,light rain,8.4109,20.6473,
605,Sabanagrande,CO,86.09,scattered clouds,10.7912,-74.7606,Malecón Ecoturistico Sabanagrande
607,Vanimo,PG,78.93,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
611,Nam Som,TH,79.09,overcast clouds,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
612,Hurricane,US,75.6,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
613,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
614,Huilong,CN,72.93,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
621,Durusu,TR,83.84,clear sky,41.3053,28.6767,Durusu Talebe Yurdu
623,Gaya,IN,80.51,mist,24.7833,85.0,Hotel Viraat Inn Gaya
624,Kolhapur,IN,73.98,overcast clouds,16.7,74.2167,Hotel Ranjeet
