City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,2.3,overcast clouds
226,Dauphin,CA,51.1494,-100.0502,51.94,84,100,10.36,overcast clouds
227,Isangel,VU,-19.55,169.2667,74.55,82,9,7.18,clear sky
228,Tiksi,RU,71.6872,128.8694,14.43,94,74,6.35,broken clouds
229,Tooele,US,40.5308,-112.2983,59.09,47,16,5.41,few clouds
230,Chokurdakh,RU,70.6333,147.9167,20.39,85,70,5.08,broken clouds
231,San Carlos,VE,9.6612,-68.5827,80.71,76,100,0.76,overcast clouds
232,Mashivka,UA,49.4431,34.8669,68.23,74,97,5.21,overcast clouds
233,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.27,62,91,12.28,overcast clouds
234,Masvingo,ZW,-20.0637,30.8277,84.25,24,0,13.8,clear sky
235,Novo Horizonte,BR,-21.4681,-49.2208,80.64,51,57,7.65,broken clouds
236,Cape Town,ZA,-33.9258,18.4232,68.88,60,40,13.8,scattered clouds
237,Karratha,AU,-20.7377,116.8463,72.32,71,0,12.5,clear sky
238,Ouargaye,BF,11.5033,0.0572,84.99,59,70,8.84,broken clouds
239,Huarmey,PE,-10.0681,-78.1522,65.89,74,87,8.25,overcast clouds
240,Estelle,US,29.8458,-90.1067,72.0,57,0,8.01,clear sky
241,Iqaluit,CA,63.7506,-68.5145,33.53,93,100,5.75,light snow
242,Ponta Do Sol,PT,32.6667,-17.1,75.7,81,80,1.83,broken clouds
243,Peniche,PT,39.3558,-9.3811,73.29,64,34,18.39,scattered clouds
244,Ayagoz,KZ,47.9714,80.4392,27.03,51,5,15.08,clear sky
245,Wapakoneta,US,40.5678,-84.1936,58.44,72,0,6.91,clear sky
246,Geraldton,AU,-28.7667,114.6,63.01,88,8,10.36,clear sky
247,Port Elizabeth,ZA,-33.918,25.5701,74.1,83,75,13.8,broken clouds
248,Kilis,TR,36.7161,37.115,89.83,25,0,10.33,clear sky
249,High Rock,BS,26.6208,-78.2833,77.02,74,13,5.68,few clouds
250,Kholm,RU,59.2667,32.85,49.89,81,88,6.98,light rain
251,Sola,VU,-13.8833,167.55,79.66,70,64,6.22,broken clouds
252,Santa Helena De Goias,BR,-17.8136,-50.5969,87.4,40,8,7.34,clear sky
253,Lata,PT,40.1629,-8.3327,76.5,41,52,7.4,broken clouds
254,Kovur,IN,14.4833,79.9833,76.57,87,100,8.79,light rain
255,Shuangyang,CN,43.5242,125.6736,67.77,71,51,14.63,broken clouds
256,Necochea,AR,-38.5473,-58.7368,63.27,41,60,8.79,broken clouds
257,Clarence Town,AU,-32.5833,151.7833,61.86,81,100,6.4,overcast clouds
258,Port Augusta,AU,-32.5,137.7667,54.84,74,33,6.62,scattered clouds
259,Worland,US,44.0169,-107.9554,55.6,90,100,4.0,overcast clouds
260,Vao,NC,-22.6667,167.4833,72.03,83,80,12.35,broken clouds
261,Sioux Lookout,CA,50.1001,-91.917,50.07,87,40,3.44,scattered clouds
262,Quatre Cocos,MU,-20.2078,57.7625,71.71,72,7,9.98,clear sky
263,Diapaga,BF,12.0708,1.7889,81.7,66,100,6.35,overcast clouds
264,Ratekau,DE,53.95,10.7333,62.29,63,40,3.44,scattered clouds
265,Alice Springs,AU,-23.7,133.8833,65.21,30,99,0.0,overcast clouds
266,Gat,IL,31.61,34.7642,92.39,26,0,16.06,clear sky
267,Nome,US,64.5011,-165.4064,34.65,84,7,6.53,clear sky
